Completed under [the exact requested run directory](/Users/ma-lab-hku/project/.dexholdem_perception_eval_work/p6_p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low_skws1hpa/p6/runs/p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low).

Written files:
- [visual_raw/turn_detection_agent.md](/Users/ma-lab-hku/project/.dexholdem_perception_eval_work/p6_p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low_skws1hpa/p6/runs/p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low/visual_raw/turn_detection_agent.md)
- [visual_raw/community_cards_agent.md](/Users/ma-lab-hku/project/.dexholdem_perception_eval_work/p6_p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low_skws1hpa/p6/runs/p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low/visual_raw/community_cards_agent.md)
- [visual_raw/blind_button_recognition_agent.md](/Users/ma-lab-hku/project/.dexholdem_perception_eval_work/p6_p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low_skws1hpa/p6/runs/p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low/visual_raw/blind_button_recognition_agent.md)
- [visual_raw/bet_recognition_agent.md](/Users/ma-lab-hku/project/.dexholdem_perception_eval_work/p6_p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low_skws1hpa/p6/runs/p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low/visual_raw/bet_recognition_agent.md)
- [visual_raw/chip_recognition_agent.md](/Users/ma-lab-hku/project/.dexholdem_perception_eval_work/p6_p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low_skws1hpa/p6/runs/p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low/visual_raw/chip_recognition_agent.md)
- [visual_raw/held_card_recognition_agent.md](/Users/ma-lab-hku/project/.dexholdem_perception_eval_work/p6_p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low_skws1hpa/p6/runs/p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low/visual_raw/held_card_recognition_agent.md)
- [visual_raw/robot_behavior_agent.md](/Users/ma-lab-hku/project/.dexholdem_perception_eval_work/p6_p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low_skws1hpa/p6/runs/p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low/visual_raw/robot_behavior_agent.md)
- [visual_raw/scene_stability_agent.md](/Users/ma-lab-hku/project/.dexholdem_perception_eval_work/p6_p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low_skws1hpa/p6/runs/p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low/visual_raw/scene_stability_agent.md)
- [visual_raw/showdown_outcome_agent.md](/Users/ma-lab-hku/project/.dexholdem_perception_eval_work/p6_p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low_skws1hpa/p6/runs/p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low/visual_raw/showdown_outcome_agent.md)
- [visual_summary.json](/Users/ma-lab-hku/project/.dexholdem_perception_eval_work/p6_p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low_skws1hpa/p6/runs/p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low/visual_summary.json)
- [eval_report.md](/Users/ma-lab-hku/project/.dexholdem_perception_eval_work/p6_p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low_skws1hpa/p6/runs/p6_codex_native_gpt5_4_medium_split_batch006_gpt54medium_split_low/eval_report.md)

No robot actions were executed. No main-agent image perception was used.
